platform,date,day_num,hour,hour_label,is_weekend,holiday_type,likes,shares,comments,engagement_score,is_christmas_season,is_holiday
TikTok,2025-12-15,0,0,12:00 AM,0,,10,5,3,18,1,0
TikTok,2025-12-15,0,1,01:00 AM,0,,14,2,2,18,1,0
TikTok,2025-12-15,0,2,02:00 AM,0,,8,0,3,11,1,0
TikTok,2025-12-15,0,3,03:00 AM,0,,6,1,3,10,1,0
TikTok,2025-12-15,0,4,04:00 AM,0,,10,2,1,13,1,0
TikTok,2025-12-15,0,5,05:00 AM,0,,15,4,3,22,1,0
TikTok,2025-12-15,0,6,06:00 AM,0,,24,8,1,33,1,0
TikTok,2025-12-15,0,7,07:00 AM,0,,12,7,6,25,1,0
TikTok,2025-12-15,0,8,08:00 AM,0,,12,5,3,20,1,0
TikTok,2025-12-15,0,9,09:00 AM,0,,8,6,1,15,1,0
TikTok,2025-12-15,0,10,10:00 AM,0,,15,6,2,23,1,0
TikTok,2025-12-15,0,11,11:00 AM,0,,15,3,4,22,1,0
TikTok,2025-12-15,0,12,12:00 PM,0,,16,3,5,24,1,0
TikTok,2025-12-15,0,13,01:00 PM,0,,16,1,5,22,1,0
TikTok,2025-12-15,0,14,02:00 PM,0,,11,7,4,22,1,0
TikTok,2025-12-15,0,15,03:00 PM,0,,13,12,2,27,1,0
TikTok,2025-12-15,0,16,04:00 PM,0,,18,14,8,40,1,0
TikTok,2025-12-15,0,17,05:00 PM,0,,30,8,2,40,1,0
TikTok,2025-12-15,0,18,06:00 PM,0,,19,9,1,29,1,0
TikTok,2025-12-15,0,19,07:00 PM,0,,16,9,4,29,1,0
TikTok,2025-12-15,0,20,08:00 PM,0,,23,10,11,44,1,0
TikTok,2025-12-15,0,21,09:00 PM,0,,36,8,4,48,1,0
TikTok,2025-12-15,0,22,10:00 PM,0,,31,4,5,40,1,0
TikTok,2025-12-15,0,23,11:00 PM,0,,26,3,2,31,1,0
Facebook,2025-12-15,0,0,12:00 AM,0,,16,5,1,22,1,0
Facebook,2025-12-15,0,1,01:00 AM,0,,16,6,2,24,1,0
Facebook,2025-12-15,0,2,02:00 AM,0,,7,4,2,13,1,0
Facebook,2025-12-15,0,3,03:00 AM,0,,5,1,3,9,1,0
Facebook,2025-12-15,0,4,04:00 AM,0,,13,4,1,18,1,0
Facebook,2025-12-15,0,5,05:00 AM,0,,10,4,1,15,1,0
Facebook,2025-12-15,0,6,06:00 AM,0,,13,5,2,20,1,0
Facebook,2025-12-15,0,7,07:00 AM,0,,24,9,3,36,1,0
Facebook,2025-12-15,0,8,08:00 AM,0,,26,3,6,35,1,0
Facebook,2025-12-15,0,9,09:00 AM,0,,18,5,1,24,1,0
Facebook,2025-12-15,0,10,10:00 AM,0,,12,2,1,15,1,0
Facebook,2025-12-15,0,11,11:00 AM,0,,16,2,0,18,1,0
Facebook,2025-12-15,0,12,12:00 PM,0,,15,4,4,23,1,0
Facebook,2025-12-15,0,13,01:00 PM,0,,12,2,2,16,1,0
Facebook,2025-12-15,0,14,02:00 PM,0,,10,5,2,17,1,0
Facebook,2025-12-15,0,15,03:00 PM,0,,15,8,2,25,1,0
Facebook,2025-12-15,0,16,04:00 PM,0,,27,10,8,45,1,0
Facebook,2025-12-15,0,17,05:00 PM,0,,13,4,4,21,1,0
Facebook,2025-12-15,0,18,06:00 PM,0,,21,9,5,35,1,0
Facebook,2025-12-15,0,19,07:00 PM,0,,25,11,5,41,1,0
Facebook,2025-12-15,0,20,08:00 PM,0,,32,12,9,53,1,0
Facebook,2025-12-15,0,21,09:00 PM,0,,21,8,7,36,1,0
Facebook,2025-12-15,0,22,10:00 PM,0,,19,3,3,25,1,0
Facebook,2025-12-15,0,23,11:00 PM,0,,18,5,0,23,1,0
Instagram,2025-12-15,0,0,12:00 AM,0,,7,2,1,10,1,0
Instagram,2025-12-15,0,1,01:00 AM,0,,8,3,4,15,1,0
Instagram,2025-12-15,0,2,02:00 AM,0,,6,4,2,12,1,0
Instagram,2025-12-15,0,3,03:00 AM,0,,17,2,1,20,1,0
Instagram,2025-12-15,0,4,04:00 AM,0,,8,1,6,15,1,0
Instagram,2025-12-15,0,5,05:00 AM,0,,8,3,4,15,1,0
Instagram,2025-12-15,0,6,06:00 AM,0,,24,3,6,33,1,0
Instagram,2025-12-15,0,7,07:00 AM,0,,20,7,8,35,1,0
Instagram,2025-12-15,0,8,08:00 AM,0,,14,1,8,23,1,0
Instagram,2025-12-15,0,9,09:00 AM,0,,8,3,2,13,1,0
Instagram,2025-12-15,0,10,10:00 AM,0,,10,4,5,19,1,0
Instagram,2025-12-15,0,11,11:00 AM,0,,22,7,3,32,1,0
Instagram,2025-12-15,0,12,12:00 PM,0,,26,6,8,40,1,0
Instagram,2025-12-15,0,13,01:00 PM,0,,10,4,3,17,1,0
Instagram,2025-12-15,0,14,02:00 PM,0,,15,4,3,22,1,0
Instagram,2025-12-15,0,15,03:00 PM,0,,33,12,7,52,1,0
Instagram,2025-12-15,0,16,04:00 PM,0,,21,7,9,37,1,0
Instagram,2025-12-15,0,17,05:00 PM,0,,22,9,4,35,1,0
Instagram,2025-12-15,0,18,06:00 PM,0,,13,5,2,20,1,0
Instagram,2025-12-15,0,19,07:00 PM,0,,33,6,5,44,1,0
Instagram,2025-12-15,0,20,08:00 PM,0,,35,13,10,58,1,0
Instagram,2025-12-15,0,21,09:00 PM,0,,17,8,7,32,1,0
Instagram,2025-12-15,0,22,10:00 PM,0,,34,14,6,54,1,0
Instagram,2025-12-15,0,23,11:00 PM,0,,12,8,1,21,1,0
YouTube,2025-12-15,0,0,12:00 AM,0,,12,3,1,16,1,0
YouTube,2025-12-15,0,1,01:00 AM,0,,8,3,4,15,1,0
YouTube,2025-12-15,0,2,02:00 AM,0,,10,4,6,20,1,0
YouTube,2025-12-15,0,3,03:00 AM,0,,9,4,4,17,1,0
YouTube,2025-12-15,0,4,04:00 AM,0,,10,2,3,15,1,0
YouTube,2025-12-15,0,5,05:00 AM,0,,10,5,2,17,1,0
YouTube,2025-12-15,0,6,06:00 AM,0,,12,2,1,15,1,0
YouTube,2025-12-15,0,7,07:00 AM,0,,14,4,6,24,1,0
YouTube,2025-12-15,0,8,08:00 AM,0,,23,7,7,37,1,0
YouTube,2025-12-15,0,9,09:00 AM,0,,18,4,2,24,1,0
YouTube,2025-12-15,0,10,10:00 AM,0,,19,5,1,25,1,0
YouTube,2025-12-15,0,11,11:00 AM,0,,9,5,3,17,1,0
YouTube,2025-12-15,0,12,12:00 PM,0,,13,3,3,19,1,0
YouTube,2025-12-15,0,13,01:00 PM,0,,20,5,3,28,1,0
YouTube,2025-12-15,0,14,02:00 PM,0,,18,4,2,24,1,0
YouTube,2025-12-15,0,15,03:00 PM,0,,15,2,5,22,1,0
YouTube,2025-12-15,0,16,04:00 PM,0,,18,7,4,29,1,0
YouTube,2025-12-15,0,17,05:00 PM,0,,32,6,7,45,1,0
YouTube,2025-12-15,0,18,06:00 PM,0,,36,9,8,53,1,0
YouTube,2025-12-15,0,19,07:00 PM,0,,24,4,4,32,1,0
YouTube,2025-12-15,0,20,08:00 PM,0,,22,9,7,38,1,0
YouTube,2025-12-15,0,21,09:00 PM,0,,32,9,7,48,1,0
YouTube,2025-12-15,0,22,10:00 PM,0,,28,11,6,45,1,0
YouTube,2025-12-15,0,23,11:00 PM,0,,24,15,8,47,1,0
Twitter,2025-12-15,0,0,12:00 AM,0,,15,3,2,20,1,0
Twitter,2025-12-15,0,1,01:00 AM,0,,14,3,2,19,1,0
Twitter,2025-12-15,0,2,02:00 AM,0,,8,3,3,14,1,0
Twitter,2025-12-15,0,3,03:00 AM,0,,3,4,2,9,1,0
Twitter,2025-12-15,0,4,04:00 AM,0,,7,5,1,13,1,0
Twitter,2025-12-15,0,5,05:00 AM,0,,16,3,4,23,1,0
Twitter,2025-12-15,0,6,06:00 AM,0,,21,3,0,24,1,0
Twitter,2025-12-15,0,7,07:00 AM,0,,10,4,2,16,1,0
Twitter,2025-12-15,0,8,08:00 AM,0,,13,6,6,25,1,0
Twitter,2025-12-15,0,9,09:00 AM,0,,10,8,2,20,1,0
Twitter,2025-12-15,0,10,10:00 AM,0,,7,3,2,12,1,0
Twitter,2025-12-15,0,11,11:00 AM,0,,25,3,8,36,1,0
Twitter,2025-12-15,0,12,12:00 PM,0,,12,3,2,17,1,0
Twitter,2025-12-15,0,13,01:00 PM,0,,12,2,2,16,1,0
Twitter,2025-12-15,0,14,02:00 PM,0,,11,5,5,21,1,0
Twitter,2025-12-15,0,15,03:00 PM,0,,19,5,1,25,1,0
Twitter,2025-12-15,0,16,04:00 PM,0,,25,2,4,31,1,0
Twitter,2025-12-15,0,17,05:00 PM,0,,11,5,1,17,1,0
Twitter,2025-12-15,0,18,06:00 PM,0,,28,9,4,41,1,0
Twitter,2025-12-15,0,19,07:00 PM,0,,30,7,7,44,1,0
Twitter,2025-12-15,0,20,08:00 PM,0,,23,10,11,44,1,0
Twitter,2025-12-15,0,21,09:00 PM,0,,23,7,3,33,1,0
Twitter,2025-12-15,0,22,10:00 PM,0,,18,4,6,28,1,0
Twitter,2025-12-15,0,23,11:00 PM,0,,18,3,4,25,1,0
TikTok,2025-12-16,1,0,12:00 AM,0,,11,3,3,17,1,0
TikTok,2025-12-16,1,1,01:00 AM,0,,12,1,5,18,1,0
TikTok,2025-12-16,1,2,02:00 AM,0,,13,2,3,18,1,0
TikTok,2025-12-16,1,3,03:00 AM,0,,12,3,3,18,1,0
TikTok,2025-12-16,1,4,04:00 AM,0,,10,1,1,12,1,0
TikTok,2025-12-16,1,5,05:00 AM,0,,8,6,1,15,1,0
TikTok,2025-12-16,1,6,06:00 AM,0,,16,5,3,24,1,0
TikTok,2025-12-16,1,7,07:00 AM,0,,18,6,3,27,1,0
TikTok,2025-12-16,1,8,08:00 AM,0,,23,5,5,33,1,0
TikTok,2025-12-16,1,9,09:00 AM,0,,12,7,2,21,1,0
TikTok,2025-12-16,1,10,10:00 AM,0,,9,3,3,15,1,0
TikTok,2025-12-16,1,11,11:00 AM,0,,13,6,2,21,1,0
TikTok,2025-12-16,1,12,12:00 PM,0,,13,4,3,20,1,0
TikTok,2025-12-16,1,13,01:00 PM,0,,16,10,4,30,1,0
